InvoiceNumber,Customer,CustomerEmail,InvoiceDate,Terms,DueDate,Amount,Status,PaymentDate,AmountPaid,DaysToPay,DaysPastDue_AtPayment,DaysPastDue_Current
INV-5001,Vantage Media Group,ap@vantagemedia.group,2025-01-23,Net 30,2025-02-22,5050,Paid,2025-04-03,5050,70,40,
INV-5002,Seoul Pharma Trading,finance@seoulpharma.co,2025-01-03,Net 30,2025-02-02,8350,Paid,2025-02-28,8350,56,26,
INV-5003,Northgate Property Mgmt,vendors@northgatepm.com,2025-01-06,Net 30,2025-02-05,4100,Paid,2025-03-31,4100,84,52,
INV-5004,Granite Civil Group,ap@granitecivil.com,2025-01-16,Net 45,2025-03-02,34250,Paid,2025-04-08,34250,82,37,
INV-5005,BlueRidge Hotels,karen.wu@blueridgehotels.com,2025-01-10,Net 30,2025-02-09,14200,Paid,2025-02-21,14200,42,12,
INV-5006,Stellar Staffing Co,finance@stellarstaffing.co,2025-01-16,Net 15,2025-01-31,9150,Paid,2025-02-06,9150,21,6,
INV-5007,BlueRidge Hotels,karen.wu@blueridgehotels.com,2025-01-20,Net 30,2025-02-19,6900,Paid,2025-03-07,6900,46,16,
INV-5008,Bluefin Seafood Dist,payables@bluefindist.com,2025-01-24,Net 30,2025-02-23,8550,Paid,2025-03-21,8550,56,26,
INV-5009,Ridgeline Builders,ap@ridgelinebuilders.com,2025-01-03,Net 30,2025-02-02,10950,Paid,2025-03-10,10950,66,36,
INV-5010,Foundry Dev Collective,ops@foundrydev.co,2025-01-17,Net 30,2025-02-16,15700,Paid-Partial-then-Settled,2025-02-18,15700,32,2,
INV-5011,Harborline Interiors,kim@harborlineinteriors.com,2025-01-24,Net 15,2025-02-08,1900,Paid,2025-02-04,1900,11,-4,
INV-5012,Seoul Pharma Trading,finance@seoulpharma.co,2025-01-16,Net 30,2025-02-15,18000,Paid,2025-02-27,18000,42,12,
INV-5013,Granite Civil Group,ap@granitecivil.com,2025-01-15,Net 45,2025-03-01,24000,Paid,2025-03-20,24000,64,19,
INV-5014,Quarry & Co Wholesale,ap@quarryco.com,2025-01-20,Net 30,2025-02-19,6100,Paid,2025-03-21,6100,60,30,
INV-5015,Meridian Health Partners,billing@meridianhp.com,2025-01-13,Net 30,2025-02-12,12550,Paid,2025-02-20,12550,38,8,
INV-5016,Meridian Health Partners,billing@meridianhp.com,2025-01-13,Net 30,2025-02-12,5550,Paid,2025-02-17,5550,35,5,
INV-5017,Ridgeline Builders,ap@ridgelinebuilders.com,2025-02-25,Net 30,2025-03-27,13400,Paid,2025-04-28,13400,62,30,
